"Área de referencia","Fuente","Desajuste","Actividad económica","Año","Mujeres","Hombres"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Sin clasificar","2016",,
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Total","2016","26.6","47.1"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Agricultura","2016","1.4","14.1"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Manufacturas","2016","2.5","3"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Construcción","2016","0.2","5.7"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2016",,"0.5"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2016","12.1","15.7"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Administración pública y servicios y actividades comunales y sociales","2016","10.2","7.9"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Emparejado","Sin clasificar","2016",,"0.2"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Sobre educado","Total","2016","14.4","21.2"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Sobre educado","Agricultura","2016","0.3","2.9"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Sobre educado","Manufacturas","2016","1","1.9"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Sobre educado","Construcción","2016",,"2.3"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Sobre educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2016","0.1","0.6"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Sobre educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2016","7.7","9.5"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Sobre educado","Administración pública y servicios y actividades comunales y sociales","2016","5.3","3.8"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Sobre educado","Sin clasificar","2016",,
"Belice","EFT - Encuesta de la Fuerza de Trabajo","No clasificado en otra parte","Total","2016","0.8","3.7"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","No clasificado en otra parte","Agricultura","2016",,"0.6"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","No clasificado en otra parte","Manufacturas","2016",,"0.1"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","No clasificado en otra parte","Construcción","2016",,"0.2"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","No clasificado en otra parte","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2016",,
"Belice","EFT - Encuesta de la Fuerza de Trabajo","No clasificado en otra parte","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2016","0.2","0.9"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","No clasificado en otra parte","Administración pública y servicios y actividades comunales y sociales","2016","0.4","1.3"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","No clasificado en otra parte","Sin clasificar","2016",,"0.4"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Total","Total","2024","3258.3","3564.3"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Total","Agricultura","2024","763.5","818.5"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Total","Manufacturas","2024","414.7","436.5"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Total","Construcción","2024","18.2","474.6"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Total","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2024","16","105.4"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Total","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2024","1415.2","1311.5"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Total","Administración pública y servicios y actividades comunales y sociales","2024","630.1","405.2"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Total","Sin clasificar","2024","0.7","12.6"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Poco educado","Total","2024","1053.6","1048.9"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Poco educado","Agricultura","2024","126.9","51.3"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Poco educado","Manufacturas","2024","183.2","160.4"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Poco educado","Construcción","2024","5.4","239.5"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Poco educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2024","7.1","48.4"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Poco educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2024","581.2","464.5"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Poco educado","Administración pública y servicios y actividades comunales y sociales","2024","149.8","83.1"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Poco educado","Sin clasificar","2024",,"1.6"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Emparejado","Total","2024","1092.1","1271.8"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Emparejado","Agricultura","2024","258.5","236.2"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Emparejado","Manufacturas","2024","108.7","165.9"
"Bolivia (Estado Plurinacional de)","EFT - Encuesta Continua de Empleo","Emparejado","Construcción","2024","6.3","157.3"
