"Área de referencia","Fuente","Actividad económica","Año","Mujeres","Hombres"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","L. Actividades inmobiliarias","2015","35","44"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","M. Actividades profesionales, científicas y técnicas","2015","42","44"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","N. Actividades de servicios administrativos y de apoyo","2015","40","45"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2015","39","42"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","P. Enseñanza","2015","41","39"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","Q. Actividades de atención de la salud humana y de asistencia social","2015","40","46"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","R. Actividades artísticas, de entretenimiento y recreativas","2015","44","36"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","S. Otras actividades de servicios","2015","45","49"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","T. Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio","2015","42","29"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","X. No clasificados en otra parte","2015","50","35"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","A. Agricultura; ganadería; silvicultura y pesca","2025","28.1","37.6"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","B. Explotación de minas y canteras","2025","42.6","44.8"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","C. Industrias manufactureras","2025","39","42.5"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","D. Suministro de electricidad, gas; vapor y aire acondicionado","2025","39.1","41.2"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2025","33.3","35.7"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","F. Construcción","2025","40.7","38.9"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2025","40.7","45.8"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","H. Transporte y almacenamiento","2025","41","46.5"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","J. Información y comunicaciones","2025","37.3","41.1"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","K. Actividades financieras y de seguros","2025","39.4","39.3"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","L. Actividades inmobiliarias","2025","31.2","35.3"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","M. Actividades profesionales, científicas y técnicas","2025","36.6","34.9"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","N. Actividades de servicios administrativos y de apoyo","2025","40.6","43.8"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2025","34.6","40"
"República Dominicana","EFT - Encuesta Nacional Continua de Fuerza de Trabajo","P. Enseñanza","2025","34.8","37.7"
