"Área de referencia","Fuente","Tipo de hogar","Presencia de niños menores de 6 años","Año","Mujeres","Hombres"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Una persona","Número de niños menores de 6 años: Total","2024","37.9","41.1"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Una persona","Número de niños menores de 6 años: 0","2024","37.9","41.1"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Pareja sin hijos","Número de niños menores de 6 años: Total","2024","37.8","41.7"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Pareja sin hijos","Número de niños menores de 6 años: 0","2024","37.8","41.7"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Pareja con hijos","Número de niños menores de 6 años: Total","2024","36","41.7"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Pareja con hijos","Número de niños menores de 6 años: 0","2024","36.7","41.6"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Pareja con hijos","Número de niños menores de 6 años: 1","2024","35.1","41.8"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Pareja con hijos","Número de niños menores de 6 años: 2","2024","32.7","42.1"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Pareja con hijos","Número de niños menores de 6 años: 3+","2024","31.8","39.8"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Padre solo","Número de niños menores de 6 años: Total","2024","34.9","40.5"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Padre solo","Número de niños menores de 6 años: 0","2024","35.6","40.8"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Padre solo","Número de niños menores de 6 años: 1","2024","32.5","38"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Padre solo","Número de niños menores de 6 años: 2","2024","31.2","40.1"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Padre solo","Número de niños menores de 6 años: 3+","2024","30.9","0"
