"Área de referencia","Fuente","Actividad económica","Año","Mujeres","Hombres"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2025","1879.1","2225.3"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","H. Transporte y almacenamiento","2025","184.2","1635.5"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","I. Actividades de alojamiento y de servicio de comidas","2025","1243.6","590.8"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","J. Información y comunicaciones","2025","141.6","264.6"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","K. Actividades financieras y de seguros","2025","247","189.2"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","L. Actividades inmobiliarias","2025","109","213"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","M. Actividades profesionales, científicas y técnicas","2025","316.4","399.8"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","N. Actividades de servicios administrativos y de apoyo","2025","700.8","394.8"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2025","395.1","432.1"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","P. Enseñanza","2025","646.7","380.6"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Q. Actividades de atención de la salud humana y de asistencia social","2025","774.6","254.4"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","R. Actividades artísticas, de entretenimiento y recreativas","2025","115.6","159.7"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","S. Otras actividades de servicios","2025","576.3","412.7"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","T. Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio","2025","656.7","60"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","U. Actividades de organizaciones y órganos extraterritoriales","2025","5.5","5.1"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","X. No clasificados en otra parte","2025",,"0.9"
"Costa Rica","EFT - Encuesta Continua de Empleo","Total","2025","870.5","1359.9"
"Costa Rica","EFT - Encuesta Continua de Empleo","A. Agricultura; ganadería; silvicultura y pesca","2025","45.5","195.4"
"Costa Rica","EFT - Encuesta Continua de Empleo","B. Explotación de minas y canteras","2025","0.3","3"
"Costa Rica","EFT - Encuesta Continua de Empleo","C. Industrias manufactureras","2025","81","161.2"
"Costa Rica","EFT - Encuesta Continua de Empleo","D. Suministro de electricidad, gas; vapor y aire acondicionado","2025","4.9","23.8"
"Costa Rica","EFT - Encuesta Continua de Empleo","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2025","1.2","7.7"
"Costa Rica","EFT - Encuesta Continua de Empleo","F. Construcción","2025","6.5","134.5"
"Costa Rica","EFT - Encuesta Continua de Empleo","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2025","130","229.6"
"Costa Rica","EFT - Encuesta Continua de Empleo","H. Transporte y almacenamiento","2025","16.6","122.4"
"Costa Rica","EFT - Encuesta Continua de Empleo","I. Actividades de alojamiento y de servicio de comidas","2025","83.1","52"
"Costa Rica","EFT - Encuesta Continua de Empleo","J. Información y comunicaciones","2025","14.2","37.4"
"Costa Rica","EFT - Encuesta Continua de Empleo","K. Actividades financieras y de seguros","2025","32.7","32.9"
"Costa Rica","EFT - Encuesta Continua de Empleo","L. Actividades inmobiliarias","2025","4.8","8.9"
"Costa Rica","EFT - Encuesta Continua de Empleo","M. Actividades profesionales, científicas y técnicas","2025","36.2","48.4"
"Costa Rica","EFT - Encuesta Continua de Empleo","N. Actividades de servicios administrativos y de apoyo","2025","27.1","62"
"Costa Rica","EFT - Encuesta Continua de Empleo","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2025","40.6","62.8"
"Costa Rica","EFT - Encuesta Continua de Empleo","P. Enseñanza","2025","101.8","45.1"
"Costa Rica","EFT - Encuesta Continua de Empleo","Q. Actividades de atención de la salud humana y de asistencia social","2025","79.3","41.9"
"Costa Rica","EFT - Encuesta Continua de Empleo","R. Actividades artísticas, de entretenimiento y recreativas","2025","9","18.1"
"Costa Rica","EFT - Encuesta Continua de Empleo","S. Otras actividades de servicios","2025","46.9","58.2"
